scenario,price_high_q,fundamental_high_q,fundamental_low_q,exposure,control,high_price_exposed_rate,high_price_unexposed_rate,high_price_difference_pp,high_price_relative_lift,low_price_exposed_rate,low_price_unexposed_rate,low_price_difference_pp,price_difference_eur_per_mwh,valid_strata,weighted_common_support_rows,exposed_rows,unexposed_rows
states_p85_p15,0.9,0.85,0.15,composite_fundamental_stress,year_month_x_delivery_hour_x_weekend,0.5348513731065282,0.13840521672005057,39.644615638647764,3.86438738207651,0.0,0.026511782710399417,-2.651178271039942,47.7749565296684,992,19277,4130,39717
states_p95_p05,0.9,0.95,0.05,high_residual_load,year_month_x_delivery_hour,0.7999620929520185,0.18322615604217832,61.67359369098402,4.365981965849181,0.0,0.03736568968276896,-3.736568968276896,64.98273682928982,616,18742,2222,41625
states_p95_p05,0.9,0.95,0.05,low_renewable_share,year_month_x_delivery_hour,0.359853128657101,0.10963268628081878,25.022044237628222,3.2823525616744877,0.0,0.06673379329647514,-6.6733793296475135,45.70204430879272,877,26682,2222,41625
states_p95_p05,0.9,0.95,0.05,high_abs_residual_ramp,year_month_x_delivery_hour,0.10638039424164353,0.12225172420388913,-1.5871329962245606,0.8701750010840281,0.0273545113306242,0.09617072525933358,-6.8816213928709375,10.885118226927716,400,12189,2222,41625
states_p95_p05,0.9,0.95,0.05,high_residual_and_low_renewable,year_month_x_delivery_hour,0.8321657670259648,0.22553911112980857,60.662665589615614,3.689673878988614,0.0,0.029264274091867316,-2.9264274091867315,74.47911556733825,367,11146,787,43060
states_p95_p05,0.9,0.95,0.05,composite_fundamental_stress,year_month_x_delivery_hour,0.7947846587089153,0.21469033170681442,58.0094327002101,3.702004894166775,0.0,0.03365661502527224,-3.3656615025272245,71.72828166541962,407,12360,880,42967
states_p95_p05,0.9,0.95,0.05,high_residual_load,year_month_x_delivery_hour_x_weekend,0.7971248083304845,0.23895517597936156,55.8169632351123,3.3358758815893226,0.0,0.015322155107730731,-1.532215510773073,56.11403302105052,621,13443,2222,41625
states_p95_p05,0.9,0.95,0.05,low_renewable_share,year_month_x_delivery_hour_x_weekend,0.36114325606639763,0.12188699755804484,23.92562585083528,2.9629350406667827,0.0,0.061065979980448895,-6.106597998044889,43.863285427976834,1194,21318,2222,41625
states_p95_p05,0.9,0.95,0.05,high_abs_residual_ramp,year_month_x_delivery_hour_x_weekend,0.11090170794503638,0.13778276208991302,-2.688105414487664,0.8049026326868463,0.027255635600056012,0.06611389068909217,-3.8858255089036153,4.803834553400037,531,9494,2222,41625
states_p95_p05,0.9,0.95,0.05,high_residual_and_low_renewable,year_month_x_delivery_hour_x_weekend,0.8320605393064318,0.29459258577252534,53.74679535339064,2.8244449435971934,0.0,0.010795091404684593,-1.0795091404684594,66.10438420929677,372,8009,787,43060
states_p95_p05,0.9,0.95,0.05,composite_fundamental_stress,year_month_x_delivery_hour_x_weekend,0.7944691870430818,0.2795953338155118,51.48738532275699,2.8414965879484395,0.0,0.013440699501313637,-1.3440699501313638,63.15350173935104,418,8912,880,42967
